"SafeStage — Synthetic User Behaviour Dataset (2,000 Rows)",,,,,,,,,,,,,,,,
◆ DEMOGRAPHICS,,,,◆ IDENTITY VERIFICATION,,,◆ BEHAVIOURAL METRICS,,,◆ FINANCIALS,,◆ PREFERENCE & INTENT,,,◆ LABELS,
U2748,23,Sydney/Australia,95,No,None,1,50,Linear,45,3283.45,9488.6,Sports,Early Access,High Prices,Maybe,Bot
U2647,25,Vancouver/Canada,132,No,None,1.3,119,Linear,38,4563.99,13681.34,Theatre,Early Access,Bot Competition,No,Bot
U1979,18,Melbourne/Australia,1214,Yes,Driver's License,4.56,6497,Natural,2,377.78,583.95,Sports,Face-value Resale,High Prices,Yes,Fan
U2956,23,Los Angeles/USA,232,No,None,0.25,288,Linear,42,3996.92,12684.8,Music,Early Access,High Prices,Maybe,Bot
U1366,27,Sydney/Australia,625,Yes,National ID,3.5,7449,Natural,4,325.58,563.99,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U2661,19,Madrid/Spain,216,No,None,1.08,144,Linear,61,4507.51,13035.19,Music,Early Access,Bot Competition,Maybe,Bot
U2147,38,Paris/France,640,No,None,0.78,3206,Linear,21,3666.42,7730.65,Music,Early Access,Interface Complexity,No,Scalper
U1561,48,Tokyo/Japan,913,Yes,State ID,3.73,14860,Natural,1,423.62,607.44,Sports,Early Access,Interface Complexity,Maybe,Fan
U1917,22,Mumbai/India,686,Yes,State ID,4.66,5142,Natural,4,572.43,800,Music,Group Booking,Bot Competition,Maybe,Fan
U2311,34,Paris/France,194,Yes,Passport,3.89,3979,Erratic,14,3319.55,7471.64,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U1127,42,Paris/France,1025,Yes,Driver's License,3.65,7660,Natural,5,433.68,650.25,Sports,Group Booking,High Prices,Yes,Fan
U2165,38,Tokyo/Japan,542,No,None,3.75,2323,Erratic,22,3143.89,6578.28,Music,Early Access,High Prices,Maybe,Scalper
U2595,40,Vancouver/Canada,509,No,None,4.38,3618,Linear,16,2707.12,5859.05,Theatre,Early Access,Bot Competition,No,Scalper
U1871,40,Mexico City/Mexico,1077,Yes,Passport,3.65,9598,Natural,3,368.32,550.46,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1881,32,Toronto/Canada,854,Yes,National ID,6.2,12404,Natural,3,482.53,596.5,Theatre,Face-value Resale,Interface Complexity,Yes,Fan
U2692,27,Dubai/UAE,214,No,None,0.81,130,Linear,55,5681.59,15000,Music,Early Access,Interface Complexity,No,Bot
U1483,34,Sydney/Australia,757,Yes,State ID,3.57,11823,Natural,4,534.47,682.49,Music,Face-value Resale,Bot Competition,Yes,Fan
U1547,27,Chicago/USA,866,Yes,State ID,6.05,5927,Natural,6,457.89,628.21,Sports,Early Access,High Prices,Yes,Fan
U2943,32,Amsterdam/Netherlands,89,No,None,0.41,89,Linear,72,4757.73,13467,Sports,Early Access,Bot Competition,No,Bot
U2597,30,Berlin/Germany,306,Yes,National ID,1.4,3392,Linear,30,2430.56,5534.26,Sports,Early Access,High Prices,No,Scalper
U1235,34,Dubai/UAE,490,Yes,Passport,5.95,8453,Natural,3,445.81,482.04,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2224,27,Mexico City/Mexico,307,No,None,2.92,1897,Erratic,24,2834.71,6358.73,Music,Early Access,Interface Complexity,No,Scalper
U1132,36,Los Angeles/USA,908,Yes,Driver's License,4.49,10514,Natural,4,415.5,647.12,Music,Early Access,High Prices,Yes,Fan
U2721,28,Madrid/Spain,14,No,None,0.1,328,Linear,38,4165.97,11740.46,Sports,Face-value Resale,Bot Competition,No,Bot
U1225,27,Dubai/UAE,1176,Yes,State ID,4.35,11577,Natural,1,417.82,484.76,Sports,Early Access,High Prices,Yes,Fan
U1063,29,São Paulo/Brazil,1117,Yes,National ID,5.08,8359,Natural,2,504.86,800,Music,Group Booking,Interface Complexity,Maybe,Fan
U1102,24,Chicago/USA,1522,Yes,Driver's License,3.67,12139,Natural,4,302.74,385.13,Theatre,Face-value Resale,Interface Complexity,Yes,Fan
U2755,28,Mexico City/Mexico,187,No,None,0.58,208,Linear,44,3604.63,10788.08,Music,Early Access,Bot Competition,No,Bot
U2231,22,New York/USA,821,Yes,State ID,4.81,3785,Linear,13,1571.43,3394.04,Sports,Early Access,Interface Complexity,No,Scalper
U1301,26,Austin/USA,951,Yes,Driver's License,3.34,7283,Natural,5,448.26,580.64,Music,Group Booking,Bot Competition,Maybe,Fan
U2126,33,Mumbai/India,613,Yes,Passport,1.99,2864,Linear,23,2386.2,5348.24,Music,Group Booking,Bot Competition,Maybe,Scalper
U1261,34,London/UK,1136,Yes,Driver's License,4.6,11326,Natural,4,265,483.27,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U2140,37,Vancouver/Canada,345,No,None,2.83,3010,Erratic,20,1942.13,4313.13,Sports,Early Access,High Prices,No,Scalper
U2079,27,Chicago/USA,303,No,None,2.05,2476,Linear,18,2280.14,4864.48,Theatre,Early Access,Interface Complexity,No,Scalper
U1679,18,São Paulo/Brazil,1441,Yes,National ID,3.74,7558,Natural,6,1055.23,800,Sports,Face-value Resale,Interface Complexity,Maybe,Fan
U2745,24,Chicago/USA,236,No,None,0.75,204,Linear,50,4087.79,12428.75,Sports,Early Access,Interface Complexity,No,Bot
U1799,28,London/UK,1145,Yes,National ID,5.83,8836,Natural,2,72.23,80,Theatre,Early Access,High Prices,Yes,Fan
U1288,31,Tokyo/Japan,764,Yes,State ID,6.01,6461,Natural,4,288.43,464.44,Music,Group Booking,Interface Complexity,Yes,Fan
U2912,27,Sydney/Australia,77,No,None,1.02,281,Linear,41,3320.36,9429.36,Music,Early Access,Bot Competition,Maybe,Bot
U2690,20,São Paulo/Brazil,141,No,None,0.89,254,Linear,39,5364.73,14951.65,Music,Early Access,Bot Competition,No,Bot
U2621,22,Seoul/South Korea,196,No,None,0.6,162,Linear,51,5959.06,15000,Theatre,Early Access,Bot Competition,Maybe,Bot
U1857,33,Austin/USA,960,Yes,Driver's License,5.14,7501,Natural,3,583.03,800,Sports,Group Booking,Interface Complexity,Yes,Fan
U2961,32,Chicago/USA,189,No,None,0.64,211,Linear,42,9000,15000,Theatre,Group Booking,Bot Competition,No,Bot
U2505,29,Mexico City/Mexico,675,Yes,National ID,4.41,2394,Linear,19,2671.95,5505.19,Sports,Early Access,Interface Complexity,No,Scalper
U2022,32,Los Angeles/USA,315,Yes,Driver's License,3.15,2683,Linear,15,4068.09,8000,Music,Early Access,Bot Competition,Maybe,Scalper
U1412,25,Tokyo/Japan,819,Yes,State ID,2.3,6718,Natural,5,366.47,493.35,Sports,Early Access,Bot Competition,Yes,Fan
U1377,29,Dubai/UAE,309,Yes,State ID,5.29,9826,Natural,2,495.63,625.36,Music,Face-value Resale,High Prices,Yes,Fan
U1263,22,Melbourne/Australia,704,Yes,National ID,3.19,5838,Natural,3,167,235.05,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2440,40,Sydney/Australia,323,No,None,2.27,3877,Erratic,19,2336.82,4798.83,Sports,Early Access,High Prices,Maybe,Scalper
U1638,24,Sydney/Australia,690,Yes,National ID,4.65,6848,Natural,1,389.71,593.52,Music,Face-value Resale,High Prices,Yes,Fan
U2516,31,São Paulo/Brazil,381,Yes,National ID,3.03,2051,Erratic,10,3873.54,8000,Sports,Early Access,High Prices,No,Scalper
U2191,31,Chicago/USA,614,Yes,State ID,2.28,3256,Linear,14,3337.74,7066.88,Sports,Early Access,Bot Competition,No,Scalper
U1996,41,Los Angeles/USA,865,Yes,National ID,6.42,9482,Natural,4,347.98,440.52,Music,Early Access,High Prices,Maybe,Fan
U1367,18,Tokyo/Japan,505,Yes,Passport,4.84,3000,Natural,6,391.53,800,Sports,Early Access,High Prices,Yes,Fan
U1013,27,New York/USA,990,Yes,National ID,4.46,4878,Natural,6,555.35,800,Music,Group Booking,Bot Competition,Yes,Fan
U1130,36,Los Angeles/USA,349,Yes,Passport,5.11,5041,Natural,1,489.94,800,Theatre,Group Booking,Interface Complexity,Maybe,Fan
U2216,31,London/UK,885,Yes,Passport,2.85,4003,Erratic,16,3525.14,8000,Sports,Early Access,Interface Complexity,No,Scalper
U1510,27,Amsterdam/Netherlands,1055,Yes,Passport,3.86,5626,Natural,3,444.72,800,Sports,Face-value Resale,High Prices,Yes,Fan
U1888,19,Madrid/Spain,1002,Yes,National ID,2.94,3000,Natural,4,381.49,455.93,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2357,37,Seoul/South Korea,681,No,None,3.72,3214,Erratic,19,2214.67,4817.85,Music,Early Access,High Prices,Maybe,Scalper
U2324,35,London/UK,525,Yes,State ID,2.64,2065,Erratic,16,1991.75,4117.67,Music,Early Access,Bot Competition,Maybe,Scalper
U2874,18,Los Angeles/USA,211,No,None,0.71,186,Linear,30,3989.7,12388.02,Sports,Early Access,High Prices,Maybe,Bot
U2582,30,Los Angeles/USA,60,Yes,National ID,2.6,3093,Erratic,10,2124.22,4496.43,Music,Face-value Resale,Interface Complexity,No,Scalper
U1813,27,Tokyo/Japan,1301,Yes,State ID,3.65,4425,Natural,4,348.03,757.43,Theatre,Early Access,High Prices,Yes,Fan
U1598,38,Dubai/UAE,900,Yes,National ID,6.34,4437,Natural,2,667.89,800,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U1373,21,London/UK,1291,Yes,National ID,5.3,6417,Natural,6,330.44,400.06,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1039,35,Melbourne/Australia,955,Yes,National ID,7.13,5779,Natural,2,312.11,267.04,Music,Face-value Resale,Interface Complexity,Maybe,Fan
U2301,40,Mexico City/Mexico,659,No,None,1.31,3383,Erratic,18,2227.69,4584.41,Music,Early Access,High Prices,Maybe,Scalper
U1981,45,São Paulo/Brazil,1449,Yes,State ID,4.27,3344,Natural,1,309.47,417.41,Music,Early Access,Interface Complexity,Maybe,Fan
U1077,22,Vancouver/Canada,1110,Yes,Driver's License,3.81,8105,Natural,9,402.71,655.74,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1924,18,Singapore/Singapore,1192,Yes,Driver's License,4.94,4035,Natural,3,313.82,465.83,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2895,23,Mexico City/Mexico,82,No,None,0.33,190,Linear,53,4611.26,14081.35,Sports,Early Access,Bot Competition,No,Bot
U1302,30,Sydney/Australia,1027,Yes,Passport,5.94,4370,Natural,2,368.06,452.58,Music,Group Booking,Bot Competition,Yes,Fan
U2631,18,Sydney/Australia,57,No,None,0.74,94,Linear,45,5505.41,15000,Music,Early Access,Bot Competition,No,Bot
U2832,24,Mexico City/Mexico,100,No,None,0.52,151,Linear,47,4599.65,14010.01,Music,Early Access,Bot Competition,No,Bot
U2171,42,Amsterdam/Netherlands,95,Yes,National ID,6.33,2642,Erratic,24,2378.67,5445.81,Sports,Early Access,Interface Complexity,No,Scalper
U1215,27,Amsterdam/Netherlands,1398,Yes,National ID,4.53,8376,Natural,1,309.05,402.65,Music,Early Access,Bot Competition,Yes,Fan
U2570,26,Mexico City/Mexico,582,Yes,State ID,3.01,3358,Erratic,17,3903.79,8000,Sports,Early Access,Interface Complexity,No,Scalper
U1339,31,London/UK,1315,Yes,Passport,5.03,10553,Natural,4,662.32,800,Music,Group Booking,High Prices,Yes,Fan
U1259,38,Mumbai/India,752,Yes,Driver's License,2.25,9349,Natural,2,205.86,238.26,Music,Group Booking,Bot Competition,Yes,Fan
U2841,23,Mumbai/India,112,No,None,1.22,195,Linear,56,4751.4,14779.36,Music,Face-value Resale,Bot Competition,No,Bot
U2779,23,Mumbai/India,52,No,None,0.66,107,Linear,37,3893.86,12405.15,Sports,Early Access,High Prices,Maybe,Bot
U1567,25,Vancouver/Canada,535,Yes,Driver's License,2,7223,Natural,4,410.55,563.18,Music,Early Access,High Prices,Yes,Fan
U2511,23,London/UK,403,No,None,1.4,1729,Erratic,19,2427.11,5345.65,Sports,Early Access,High Prices,No,Scalper
U1847,43,London/UK,257,Yes,State ID,3.66,7276,Natural,6,125.45,330.5,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U1424,21,São Paulo/Brazil,1247,Yes,National ID,5.67,5852,Natural,4,337.63,487.54,Music,Group Booking,High Prices,Maybe,Fan
U2384,35,Paris/France,487,Yes,National ID,0.5,3218,Linear,24,3620.89,7823.15,Music,Face-value Resale,Bot Competition,No,Scalper
U1101,29,Seoul/South Korea,705,Yes,State ID,5.34,8783,Natural,5,534.33,800,Sports,Early Access,Bot Competition,Maybe,Fan
U1309,25,Vancouver/Canada,716,Yes,Passport,5.09,6904,Natural,3,553.14,621.65,Sports,Group Booking,High Prices,Yes,Fan
U2972,18,Seoul/South Korea,98,No,None,0.38,141,Linear,34,5681.61,15000,Sports,Early Access,Bot Competition,No,Bot
U1629,24,Tokyo/Japan,1104,Yes,Driver's License,6.17,12268,Natural,3,50,80,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1958,22,Austin/USA,585,Yes,State ID,5.31,4588,Natural,3,501.85,697.3,Sports,Group Booking,High Prices,Yes,Fan
U2802,29,Vancouver/Canada,162,Yes,Driver's License,1.11,290,Linear,57,5587.54,15000,Music,Early Access,Interface Complexity,No,Bot
U1850,27,Tokyo/Japan,450,Yes,National ID,5.37,9534,Natural,7,277.8,444.35,Theatre,Face-value Resale,Bot Competition,Maybe,Fan
U1482,39,Chicago/USA,497,Yes,Passport,5.02,6096,Natural,5,598.88,800,Music,Early Access,Bot Competition,Yes,Fan
U1727,26,Paris/France,994,Yes,Passport,5.03,9882,Natural,6,434.04,503.03,Sports,Group Booking,Bot Competition,Maybe,Fan
U1038,25,Amsterdam/Netherlands,967,Yes,State ID,4.52,8044,Natural,2,424.41,634.01,Music,Group Booking,Bot Competition,Yes,Fan
U2601,28,Seoul/South Korea,134,No,None,0.6,202,Linear,45,5073.56,14219.81,Music,Early Access,Bot Competition,No,Bot
U2638,18,Toronto/Canada,169,No,None,0.69,136,Linear,50,3804.98,11826.36,Theatre,Early Access,Bot Competition,No,Bot
U2924,22,Singapore/Singapore,214,Yes,Passport,0.82,59,Linear,40,5112.53,15000,Sports,Face-value Resale,Bot Competition,No,Bot
U2195,31,Los Angeles/USA,484,Yes,State ID,0.5,1367,Linear,24,4341.57,8000,Music,Face-value Resale,Interface Complexity,No,Scalper
U1549,25,Amsterdam/Netherlands,1298,Yes,Driver's License,3.33,8816,Natural,3,534.96,743.86,Theatre,Group Booking,Interface Complexity,Yes,Fan
U1129,47,São Paulo/Brazil,1017,Yes,Passport,4.73,7027,Natural,4,392.56,606.23,Sports,Face-value Resale,High Prices,Yes,Fan
U2372,48,New York/USA,751,No,None,3.86,1996,Linear,20,2763.8,5818.53,Theatre,Early Access,High Prices,Maybe,Scalper
U1601,18,Seoul/South Korea,1300,Yes,Driver's License,6.36,8600,Natural,6,444.11,614.15,Sports,Face-value Resale,High Prices,Maybe,Fan
U2360,37,Vancouver/Canada,528,Yes,State ID,1.86,2693,Erratic,15,2565.66,5435.62,Music,Group Booking,Interface Complexity,No,Scalper
U1041,18,Mumbai/India,1449,Yes,Passport,5.92,6627,Natural,1,663.7,800,Music,Face-value Resale,High Prices,Maybe,Fan
U1705,25,São Paulo/Brazil,278,Yes,Driver's License,5.9,5862,Natural,2,347.45,508.21,Sports,Group Booking,Bot Competition,Yes,Fan
U2722,26,Seoul/South Korea,72,No,None,0.74,186,Linear,43,3534.88,10687.16,Music,Early Access,Interface Complexity,Maybe,Bot
U2257,34,Mumbai/India,214,Yes,Passport,0.65,2936,Linear,10,3372.98,7256.5,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1296,39,Mumbai/India,863,Yes,Driver's License,4.61,4974,Natural,8,692.95,800,Sports,Group Booking,Bot Competition,Yes,Fan
U1448,45,Austin/USA,884,Yes,Driver's License,3.84,8220,Natural,5,510.15,643.93,Music,Early Access,Interface Complexity,Yes,Fan
U2420,32,Austin/USA,350,Yes,State ID,1.73,2383,Linear,24,2568.96,6118.2,Music,Early Access,High Prices,No,Scalper
U1637,22,Dubai/UAE,761,Yes,State ID,2,8639,Natural,3,594.63,744.61,Music,Face-value Resale,Bot Competition,Yes,Fan
U2860,35,Vancouver/Canada,297,No,None,0.75,50,Linear,42,5713.55,15000,Sports,Early Access,High Prices,No,Bot
U2799,29,Chicago/USA,161,No,None,0.38,132,Linear,49,5294.13,15000,Sports,Early Access,Bot Competition,No,Bot
U2327,45,Austin/USA,109,No,None,3.82,2918,Erratic,10,1788.75,4167.73,Music,Early Access,Interface Complexity,No,Scalper
U2567,45,Berlin/Germany,148,No,None,3.65,3896,Linear,23,2219.59,5015.87,Sports,Early Access,Interface Complexity,No,Scalper
U1897,18,New York/USA,531,Yes,Passport,4.63,6550,Natural,3,603.95,800,Music,Face-value Resale,Bot Competition,Maybe,Fan
U1530,38,Dubai/UAE,357,Yes,Passport,4.17,7684,Natural,4,431.14,529.39,Sports,Face-value Resale,High Prices,Yes,Fan
U2536,36,Mumbai/India,583,Yes,National ID,0.5,3175,Erratic,16,2129.09,4511.48,Music,Early Access,Interface Complexity,Maybe,Scalper
U2385,42,Dubai/UAE,512,Yes,National ID,4.31,2670,Erratic,10,3114.8,7251.66,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1931,29,Los Angeles/USA,867,Yes,National ID,5.49,7539,Natural,1,374.8,446.95,Music,Group Booking,High Prices,Yes,Fan
U2268,24,Sydney/Australia,708,Yes,National ID,7,4060,Linear,18,1676.64,3739.43,Music,Early Access,Interface Complexity,Maybe,Scalper
U1821,18,Singapore/Singapore,502,Yes,Driver's License,6.67,11903,Natural,4,719.33,800,Sports,Group Booking,Interface Complexity,Yes,Fan
U1595,32,London/UK,641,Yes,Driver's License,7.11,8285,Natural,3,593.51,800,Music,Group Booking,High Prices,Maybe,Fan
U1675,48,Mumbai/India,1031,Yes,Passport,4.61,8990,Natural,9,241.15,247.98,Sports,Group Booking,Bot Competition,Yes,Fan
U2579,37,New York/USA,363,Yes,National ID,5.5,4685,Linear,10,2875.03,6424.97,Music,Group Booking,Interface Complexity,No,Scalper
U1580,23,Toronto/Canada,729,Yes,Passport,3.78,6157,Natural,2,302.38,392.41,Music,Face-value Resale,High Prices,Yes,Fan
U1714,18,Paris/France,1115,Yes,National ID,6.68,7592,Natural,5,314.81,636.92,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2807,34,Sydney/Australia,61,Yes,State ID,0.4,282,Linear,30,5721.86,15000,Music,Early Access,High Prices,No,Bot
U1838,23,New York/USA,603,Yes,Driver's License,5.39,9138,Natural,6,99.62,224.6,Music,Group Booking,Bot Competition,Yes,Fan
U1789,28,Seoul/South Korea,883,Yes,National ID,4.05,11162,Natural,2,286.76,571.14,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1486,30,Paris/France,1305,Yes,Passport,6.05,11959,Natural,4,525.73,800,Sports,Early Access,Bot Competition,Yes,Fan
U1196,39,Madrid/Spain,259,Yes,National ID,8.27,10440,Natural,4,410.12,597.01,Theatre,Early Access,Bot Competition,Maybe,Fan
U1717,44,São Paulo/Brazil,888,Yes,Passport,6,5158,Natural,6,608.51,800,Music,Group Booking,High Prices,Yes,Fan
U2239,34,Chicago/USA,372,Yes,Passport,2.38,3713,Linear,16,3495.8,7678.08,Music,Early Access,Interface Complexity,No,Scalper
U2431,37,Sydney/Australia,553,Yes,Passport,1,2634,Linear,14,2823.26,6318.79,Music,Early Access,Interface Complexity,Maybe,Scalper
U2406,37,New York/USA,562,Yes,State ID,4.21,4580,Erratic,11,2940.58,6181.85,Music,Early Access,Interface Complexity,Maybe,Scalper
U2578,38,Austin/USA,802,No,None,3.4,3033,Erratic,10,4224.32,8000,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1481,28,Seoul/South Korea,394,Yes,Passport,4.73,7709,Natural,4,326.02,702.58,Music,Face-value Resale,High Prices,Yes,Fan
U2445,36,Mexico City/Mexico,60,Yes,Passport,4.42,2691,Erratic,19,2128.75,4885.49,Sports,Early Access,Interface Complexity,No,Scalper
U1387,39,Austin/USA,477,Yes,State ID,5.2,5958,Natural,1,459.34,723.83,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1258,27,Toronto/Canada,1271,Yes,Passport,3.95,7692,Natural,4,572.72,622.06,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U1995,31,Toronto/Canada,1370,Yes,National ID,5.22,8239,Natural,2,171.28,301.4,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1895,26,Sydney/Australia,553,Yes,Driver's License,3.22,3590,Natural,3,709.02,800,Music,Early Access,Bot Competition,Yes,Fan
U1978,40,Madrid/Spain,1096,Yes,Driver's License,4.85,11090,Natural,2,386.33,548.5,Music,Face-value Resale,Interface Complexity,Maybe,Fan
U2572,29,São Paulo/Brazil,603,No,None,2.61,2063,Linear,16,2743.9,6094.49,Sports,Group Booking,Interface Complexity,No,Scalper
U2742,23,London/UK,89,No,None,0.79,191,Linear,62,4032.95,12058.37,Music,Early Access,Bot Competition,Maybe,Bot
U1797,32,Mexico City/Mexico,743,Yes,State ID,3.24,9915,Natural,3,331.88,467.98,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2144,28,Toronto/Canada,132,Yes,National ID,2.34,3165,Linear,15,3922.71,8000,Theatre,Early Access,Interface Complexity,No,Scalper
U1984,28,Tokyo/Japan,1153,Yes,National ID,5.22,11588,Natural,2,721.37,800,Music,Early Access,High Prices,Yes,Fan
U1875,36,Amsterdam/Netherlands,783,Yes,National ID,6.59,8872,Natural,4,396.89,550.18,Theatre,Face-value Resale,High Prices,Yes,Fan
U1034,19,Berlin/Germany,896,Yes,National ID,3.42,7989,Natural,2,595.52,800,Music,Face-value Resale,High Prices,Yes,Fan
U1081,29,Melbourne/Australia,908,Yes,State ID,5.63,6509,Natural,4,336.79,436.75,Sports,Group Booking,High Prices,Yes,Fan
U2827,18,New York/USA,137,No,None,0.1,280,Linear,55,4181.23,12693.07,Sports,Early Access,Bot Competition,No,Bot
U1968,27,Los Angeles/USA,860,Yes,Driver's License,4.75,8085,Natural,4,223.92,402.16,Theatre,Early Access,High Prices,Maybe,Fan
U2035,41,Tokyo/Japan,265,Yes,State ID,5.19,800,Linear,18,832.56,1751.44,Theatre,Early Access,High Prices,Maybe,Scalper
U2178,31,Berlin/Germany,500,Yes,Passport,3.45,3798,Linear,17,3159.46,7527.48,Sports,Early Access,Bot Competition,No,Scalper
U2293,26,Tokyo/Japan,833,Yes,Passport,3.57,1176,Linear,18,1739.42,3962.71,Music,Early Access,High Prices,No,Scalper
U2490,46,Madrid/Spain,551,Yes,National ID,3.94,4210,Erratic,20,2703.98,6184.94,Sports,Early Access,Interface Complexity,Maybe,Scalper
U2507,30,Singapore/Singapore,660,No,None,3.16,2385,Erratic,11,2399.27,5655.26,Sports,Early Access,Bot Competition,Maybe,Scalper
U1444,18,Seoul/South Korea,1164,Yes,National ID,4.5,8788,Natural,2,313.92,402.8,Music,Group Booking,Bot Competition,Yes,Fan
U1066,42,New York/USA,90,Yes,State ID,4.43,7222,Natural,5,752.81,800,Sports,Group Booking,High Prices,Maybe,Fan
U2587,31,London/UK,279,No,None,0.87,2724,Linear,17,2695.97,5696.69,Music,Early Access,High Prices,Maybe,Scalper
U1770,27,Mumbai/India,726,Yes,National ID,3.42,6678,Natural,4,527.82,800,Music,Face-value Resale,Bot Competition,Yes,Fan
U1548,49,Mumbai/India,530,Yes,Passport,5.64,12022,Natural,7,640.31,800,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2611,30,Melbourne/Australia,216,No,None,0.61,243,Linear,45,4830.54,14452.49,Sports,Early Access,Bot Competition,No,Bot
U1059,18,Austin/USA,1243,Yes,State ID,4.91,6761,Natural,5,828.72,800,Sports,Face-value Resale,High Prices,Yes,Fan
U1792,18,Sydney/Australia,839,Yes,State ID,4.28,4195,Natural,5,591.57,800,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2544,43,São Paulo/Brazil,606,Yes,Passport,2.88,4716,Erratic,18,2907.7,6189.58,Sports,Early Access,Interface Complexity,No,Scalper
U2534,25,Los Angeles/USA,666,No,None,2.71,4153,Erratic,10,1659.55,3754.21,Music,Early Access,High Prices,Maybe,Scalper
U1089,25,São Paulo/Brazil,1213,Yes,Passport,5.32,12416,Natural,5,355.33,544.71,Theatre,Early Access,Bot Competition,Maybe,Fan
U1566,25,Mumbai/India,1066,Yes,National ID,2.21,6715,Natural,7,281.93,346.39,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2843,26,Tokyo/Japan,203,No,None,1.16,142,Linear,52,7371.48,15000,Music,Early Access,Bot Competition,No,Bot
U2295,45,Amsterdam/Netherlands,741,No,None,4.8,3587,Linear,12,2543.08,4670.01,Theatre,Early Access,Interface Complexity,No,Scalper
U2867,29,Vancouver/Canada,143,No,None,0.48,288,Linear,37,4649.71,14147.9,Sports,Face-value Resale,Bot Competition,No,Bot
U1255,20,Paris/France,925,Yes,Passport,3.39,8438,Natural,2,346.54,405.49,Music,Early Access,High Prices,Yes,Fan
U2931,31,Sydney/Australia,175,No,None,0.94,287,Linear,58,4762.97,14058.88,Music,Face-value Resale,Bot Competition,No,Bot
U2535,32,Amsterdam/Netherlands,318,No,None,4.83,2695,Linear,13,3331.13,7328.98,Theatre,Early Access,Interface Complexity,No,Scalper
U1775,41,Toronto/Canada,1470,Yes,State ID,7.94,5545,Natural,9,356.24,451.34,Music,Face-value Resale,High Prices,Maybe,Fan
U1018,35,Amsterdam/Netherlands,1146,Yes,Passport,6.78,7186,Natural,2,259.89,298.58,Theatre,Face-value Resale,Interface Complexity,Yes,Fan
U1939,43,Amsterdam/Netherlands,1257,Yes,Passport,4.26,6788,Natural,6,776.84,800,Sports,Face-value Resale,High Prices,Maybe,Fan
U1973,33,Dubai/UAE,578,Yes,Passport,4.64,7725,Natural,4,440.97,647.73,Sports,Early Access,High Prices,Yes,Fan
U2985,23,Vancouver/Canada,59,No,None,0.54,201,Linear,59,3660.8,11192.72,Music,Early Access,Bot Competition,No,Bot
U2962,25,London/UK,86,No,None,0.84,155,Linear,69,4769.51,14222.27,Music,Early Access,Bot Competition,No,Bot
U1100,29,Mumbai/India,599,Yes,State ID,4.16,12294,Natural,5,317.19,489.87,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2894,21,London/UK,32,No,None,0.94,111,Linear,31,3354.74,10271.99,Music,Early Access,Bot Competition,Maybe,Bot
U1364,27,Singapore/Singapore,953,Yes,National ID,5.98,9307,Natural,2,867.33,800,Music,Early Access,Interface Complexity,Yes,Fan
U2253,31,Singapore/Singapore,282,Yes,Passport,4.79,1543,Erratic,20,3605.1,7951.05,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U1802,33,Toronto/Canada,984,Yes,National ID,6.7,3974,Natural,3,256.47,407.39,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1037,31,Sydney/Australia,651,Yes,Driver's License,5.12,11631,Natural,3,492.31,744.45,Sports,Early Access,High Prices,Maybe,Fan
U1097,30,Tokyo/Japan,1112,Yes,Driver's License,4.39,11400,Natural,2,744.17,800,Sports,Group Booking,High Prices,Yes,Fan
U1095,34,São Paulo/Brazil,870,Yes,Passport,6.72,5124,Natural,1,295.46,410,Theatre,Face-value Resale,High Prices,Yes,Fan
U2768,21,London/UK,238,No,None,0.24,136,Linear,42,6080.47,15000,Sports,Early Access,Bot Competition,No,Bot
U1757,27,Singapore/Singapore,1362,Yes,Passport,5.69,10055,Natural,3,517.75,706.14,Sports,Group Booking,Bot Competition,Yes,Fan
U1135,24,Mumbai/India,809,Yes,Passport,4.03,8226,Natural,4,420.55,623.73,Sports,Group Booking,Bot Competition,Yes,Fan
